store_name,municipality,district
Loja de Cidadão da Anadia,Anadia,Aveiro
Loja de Cidadão da Batalha,Batalha,Leiria
Loja de Cidadão da Guarda,Guarda,Guarda
Loja de Cidadão das Laranjeiras,Lisboa,Lisboa
Loja de Cidadão de Abrantes,Abrantes,Santarém
Loja de Cidadão de Aguiar da Beira,Aguiar Da Beira,Guarda
Loja de Cidadão de Alijó,Alijó,Vila Real
Loja de Cidadão de Alvaiázere,Alvaiázere,Leiria
Loja de Cidadão de Amares,Amares,Braga
Loja de Cidadão de Ansião,Ansião,Leiria
Loja de Cidadão de Arruda dos Vinhos,Arruda Dos Vinhos,Lisboa
Loja de Cidadão de Aveiro,Aveiro,Aveiro
Loja de Cidadão de Belmonte,Belmonte,Castelo Branco
Loja de Cidadão de Borba,Borba,Évora
Loja de Cidadão de Braga,Braga,Braga
Loja de Cidadão de Campo Maior,Campo Maior,Portalegre
Loja de Cidadão de Cantanhede,Cantanhede,Coimbra
Loja de Cidadão de Carregal do Sal,Carregal Do Sal,Viseu
Loja de Cidadão de Cascais,Cascais,Lisboa
Loja de Cidadão de Castelo Branco,Castelo Branco,Castelo Branco
Loja de Cidadão de Castelo de Paiva,Castelo de Paiva,Aveiro
Loja de Cidadão de Coimbra,Coimbra,Coimbra
Loja de Cidadão de Esmoriz,Ovar,Aveiro
Loja de Cidadão de Faro,Faro,Faro
Loja de Cidadão de Felgueiras,Felgueiras,Porto
Loja de Cidadão de Freixo de Espada à Cinta,Freixo De Espada À Cinta,Bragança
Loja de Cidadão de Gondomar,Gondomar,Porto
Loja de Cidadão de Leiria,Leiria,Leiria
Loja de Cidadão de Mafra,Mafra,Lisboa
Loja de Cidadão de Marvila,Lisboa,Lisboa
Loja de Cidadão de Mação,Mação,Santarém
Loja de Cidadão de Montalegre,Montalegre,Vila Real
Loja de Cidadão de Murça,Murça,Vila real
Loja de Cidadão de Mêda,Mêda,Guarda
Loja de Cidadão de Nelas,Nelas,Viseu
Loja de Cidadão de Odivelas,Odivelas,Lisboa
Loja de Cidadão de Oliveira de Frades,Oliveira De Frades,Viseu
Loja de Cidadão de Palmela Móvel,Palmela,Setúbal
Loja de Cidadão de Penafiel,Penafiel,Porto
Loja de Cidadão de Penalva do Castelo,Penalva Do Castelo,Viseu
Loja de Cidadão de Pinhal Novo,Setúbal,Setúbal
Loja de Cidadão de Pombal,Pombal,Leiria
Loja de Cidadão de Ponte da Barca,Ponte Da Barca,Viana do Castelo
Loja de Cidadão de Queluz,Sintra,Lisboa
Loja de Cidadão de Resende,Resende,Viseu
Loja de Cidadão de Ribeira de Pena,Ribeira De Pena,Vila Real
Loja de Cidadão de Rio Maior,Rio Maior,Santarém
Loja de Cidadão de Santarém,Santarém,Santarém
Loja de Cidadão de Santiago do Cacém,Santiago Do Cacém,Setúbal
Loja de Cidadão de Santo Tirso,Santo Tirso,Porto
Loja de Cidadão de Serpa,Serpa,Beja
Loja de Cidadão de Setúbal,Setúbal,Setúbal
Loja de Cidadão de Sátão,Sátão,Viseu
Loja de Cidadão de São João da Madeira,São João da Madeira,Aveiro
Loja de Cidadão de Tarouca,Tarouca,Viseu
Loja de Cidadão de Tavira,Tavira,Faro
Loja de Cidadão de Torres Novas,Torres Novas,Santarém
Loja de Cidadão de Torres Vedras,Torres Vedras,Lisboa
Loja de Cidadão de Valongo,Valongo,Porto
Loja de Cidadão de Valpaços,Valpaços,Vila Real
Loja de Cidadão de Vila Franca de Xira,Vila Franca De Xira,Lisboa
Loja de Cidadão de Vila Nova da Barquinha,Vila Nova Da Barquinha,Santarém
Loja de Cidadão de Vila Nova de Famalicão,Vila Nova De Famalicão,Braga
Loja de Cidadão de Vila Nova de Gaia,Vila Nova De Gaia,Porto
Loja de Cidadão de Vila Pouca Aguiar,Vila Pouca De Aguiar,Vila Real
Loja de Cidadão de Vila Real,Vila Real,Vila Real
Loja de Cidadão de Vila Velha de Ródão,Vila Velha De Ródão,Castelo Branco
Loja de Cidadão de Vila de Rei,Vila De Rei,Castelo Branco
Loja de Cidadão de Viseu,Viseu,Viseu
Loja de Cidadão de Águeda,Águeda,Aveiro
Loja de Cidadão do Barreiro,Barreiro,Setúbal
Loja de Cidadão do Bombarral,Bombarral,Leiria
Loja de Cidadão do Cacém,Sintra,Lisboa
Loja de Cidadão do Porto,Porto,Porto
Loja de Cidadão do Saldanha,Lisboa,Lisboa
Loja de Cidadão do Sardoal,Sardoal,Santarém
Loja de Cidadão do Seixal,Seixal,Setúbal
Loja de Cidadão do Vimioso,Vimioso,Bragança
